,player,hits,team,def_rank,games_played,1_hits_count,2_hits_count,3_hits_count,4_hits_count
306,LaMonte Wade Jr.,0.0,ATL,8.0,1,0,0,0,0
307,Bryson Stott,0.0,CHC,14.0,1,0,0,0,0
308,Trea Turner,2.0,CHC,14.0,1,1,1,0,0
309,Alec Bohm,2.0,CHC,14.0,1,1,1,0,0
310,Nick Castellanos,1.0,CHC,14.0,1,1,0,0,0
311,Edmundo Sosa,1.0,CHC,14.0,1,1,0,0,0
312,Christopher Morel,1.0,ATL,8.0,1,1,0,0,0
313,Whit Merrifield,1.0,TBR,9.0,1,1,0,0,0
314,Cristian Pache,0.0,CHC,14.0,1,0,0,0,0
315,Pete Crow-Armstrong,2.0,SEA,1.0,1,1,1,0,0
316,Josh Rojas,0.0,CHC,14.0,1,0,0,0,0
317,Rafael Marchan,2.0,CHC,14.0,1,1,1,0,0
318,Marcus Semien,0.0,SDP,11.0,1,0,0,0,0
319,Corey Seager,1.0,SDP,11.0,1,1,0,0,0
320,Josh Smith,1.0,SDP,11.0,1,1,0,0,0
321,Adolis Garcia,1.0,SDP,11.0,1,1,0,0,0
322,Wyatt Langford,1.0,SDP,11.0,1,1,0,0,0
323,Nathaniel Lowe,2.0,SDP,11.0,1,1,1,0,0
324,Jonah Heim,1.0,SDP,11.0,1,1,0,0,0
325,Travis Jankowski,1.0,SDP,11.0,1,1,0,0,0
326,Derek Hill,0.0,SDP,11.0,1,0,0,0,0
327,Leody Taveras,1.0,SDP,11.0,1,1,0,0,0
328,Willi Castro,1.0,DET,5.0,1,1,0,0,0
329,Kyle Farmer,0.0,DET,5.0,1,0,0,0,0
330,Trevor Larnach,0.0,DET,5.0,1,0,0,0,0
331,Manuel Margot,0.0,DET,5.0,1,0,0,0,0
332,Austin Martin,0.0,DET,5.0,1,0,0,0,0
333,Carlos Santana,0.0,DET,5.0,1,0,0,0,0
334,Jose Miranda,1.0,DET,5.0,1,1,0,0,0
335,Max Kepler,0.0,DET,5.0,1,0,0,0,0
336,Byron Buxton,1.0,ATL,8.0,1,1,0,0,0
337,Brooks Lee,2.0,DET,5.0,1,1,1,0,0
338,Yandy Diaz,0.0,KCR,15.0,1,0,0,0,0
339,Christian Vazquez,2.0,DET,5.0,1,1,1,0,0
340,Brandon Lowe,0.0,KCR,15.0,1,0,0,0,0
341,Maikel Garcia,0.0,TBR,9.0,1,0,0,0,0
342,Jonny DeLuca,0.0,KCR,15.0,1,0,0,0,0
343,Bobby Witt Jr.,2.0,TBR,9.0,1,1,1,0,0
344,Taylor Walls,0.0,KCR,15.0,1,0,0,0,0
345,Vinnie Pasquantino,2.0,TBR,9.0,1,1,1,0,0
346,Isaac Paredes,1.0,KCR,15.0,1,1,0,0,0
347,Salvador Perez,1.0,TBR,9.0,1,1,0,0,0
348,Randy Arozarena,1.0,KCR,15.0,1,1,0,0,0
349,Michael Massey,0.0,CHC,14.0,1,0,0,0,0
350,Amed Rosario,2.0,KCR,15.0,1,1,1,0,0
351,Hunter Renfroe,0.0,SEA,1.0,1,0,0,0,0
352,Josh Lowe,0.0,KCR,15.0,1,0,0,0,0
353,MJ Melendez,1.0,CIN,13.0,1,1,0,0,0
354,Jose Siri,0.0,KCR,15.0,1,0,0,0,0
355,Nick Loftin,0.0,TBR,9.0,1,0,0,0,0
356,Jose Caballero,0.0,KCR,15.0,1,0,0,0,0
357,Kyle Isbel,1.0,TBR,9.0,1,1,0,0,0
358,Richie Palacios,0.0,KCR,15.0,1,0,0,0,0
359,Charlie Blackmon,0.0,MIL,10.0,1,0,0,0,0
360,Alex Jackson,0.0,KCR,15.0,1,0,0,0,0
361,Brendan Rodgers,2.0,MIL,10.0,1,1,1,0,0
362,Ben Rortvedt,1.0,KCR,15.0,1,1,0,0,0
363,Ryan McMahon,0.0,MIL,10.0,1,0,0,0,0
364,Elias Diaz,1.0,MIL,10.0,1,1,0,0,0
365,Brenton Doyle,2.0,MIL,10.0,1,1,1,0,0
366,Michael Toglia,1.0,MIL,10.0,1,1,0,0,0
367,Willy Adames,0.0,SDP,11.0,1,0,0,0,0
368,Nolan Jones,0.0,MIL,10.0,1,0,0,0,0
369,Jake Cave,2.0,MIL,10.0,1,1,1,0,0
370,Aaron Schunk,0.0,MIL,10.0,1,0,0,0,0
371,Corbin Carroll,1.0,LAD,7.0,1,1,0,0,0
372,Ketel Marte,1.0,LAD,7.0,1,1,0,0,0
373,Kevin Newman,0.0,LAD,7.0,1,0,0,0,0
374,Joc Pederson,0.0,ATL,8.0,1,0,0,0,0
375,Randal Grichuk,0.0,LAD,7.0,1,0,0,0,0
376,Christian Walker,4.0,LAD,7.0,1,1,1,1,1
377,Lourdes Gurriel Jr.,2.0,LAD,7.0,1,1,1,0,0
378,Jake McCarthy,1.0,HOU,4.0,1,1,0,0,0
379,J.P. Crawford,0.0,BAL,12.0,1,0,0,0,0
380,Eugenio Suarez,2.0,BAL,12.0,1,1,1,0,0
381,Josh Rojas,0.0,BAL,12.0,1,0,0,0,0
382,Gabriel Moreno,3.0,LAD,7.0,1,1,1,1,0
383,Mitch Garver,1.0,BAL,12.0,1,1,0,0,0
384,Geraldo Perdomo,2.0,LAD,7.0,1,1,1,0,0
385,Ryan Bliss,0.0,BAL,12.0,1,0,0,0,0
386,Gunnar Henderson,0.0,SEA,1.0,1,0,0,0,0
387,Cal Raleigh,1.0,BAL,12.0,1,1,0,0,0
388,Adley Rutschman,0.0,SEA,1.0,1,0,0,0,0
389,Luke Raley,0.0,BAL,12.0,1,0,0,0,0
390,Ryan O'Hearn,2.0,SEA,1.0,1,1,1,0,0
391,Ryan Mountcastle,1.0,SEA,1.0,1,1,0,0,0
392,Jorge Polanco,1.0,BAL,12.0,1,1,0,0,0
393,Anthony Santander,1.0,SEA,1.0,1,1,0,0,0
394,Julio Rodriguez,1.0,BAL,12.0,1,1,0,0,0
395,Jordan Westburg,1.0,SEA,1.0,1,1,0,0,0
396,Dominic Canzone,0.0,BAL,12.0,1,0,0,0,0
397,Austin Hays,0.0,CIN,13.0,1,0,0,0,0
398,Dylan Moore,0.0,BAL,12.0,1,0,0,0,0
399,Cedric Mullins,0.0,SEA,1.0,1,0,0,0,0
400,CJ Abrams,0.0,NYM,3.0,1,0,0,0,0
401,Ramon Urias,1.0,SEA,1.0,1,1,0,0,0
402,Lane Thomas,1.0,NYM,3.0,1,1,0,0,0
403,Harold Ramirez,0.0,NYM,3.0,1,0,0,0,0
404,Brandon Nimmo,0.0,CLE,2.0,1,0,0,0,0
405,Jesse Winker,1.0,NYM,3.0,1,1,0,0,0
406,Joey Meneses,0.0,NYM,3.0,1,0,0,0,0
407,Pete Alonso,0.0,NYM,3.0,1,0,0,0,0
408,James Wood,1.0,NYM,3.0,1,1,0,0,0
409,Nick Senzel,0.0,HOU,4.0,1,0,0,0,0
410,Ildemaro Vargas,0.0,NYM,3.0,1,0,0,0,0
411,Jacob Young,0.0,NYM,3.0,1,0,0,0,0
412,Oneil Cruz,1.0,MIL,10.0,1,1,0,0,0
413,Michael A. Taylor,0.0,TBR,9.0,1,0,0,0,0
414,Jonathan India,3.0,NYY,6.0,1,1,1,1,0
415,Elly De La Cruz,1.0,NYY,6.0,1,1,0,0,0
416,Ben Rice,1.0,CIN,13.0,1,1,0,0,0
417,Jeimer Candelario,1.0,NYY,6.0,1,1,0,0,0
418,Juan Soto,1.0,CIN,13.0,1,1,0,0,0
419,Spencer Steer,1.0,NYY,6.0,1,1,0,0,0
420,Aaron Judge,0.0,CIN,13.0,1,0,0,0,0
421,Jake Fraley,2.0,NYY,6.0,1,1,1,0,0
422,Alex Verdugo,3.0,CIN,13.0,1,1,1,1,0
423,Noelvi Marte,0.0,NYY,6.0,1,0,0,0,0
424,Gleyber Torres,0.0,CIN,13.0,1,0,0,0,0
425,Nick Martini,1.0,NYY,6.0,1,1,0,0,0
