player,team
Junior Caminero,TBR
Patrick Wisdom,CHC
Derek Hill,3TM
Player,Team
Derek Hill,2TM
Derek Hill,TEX
Derek Hill,SFG
Derek Hill,MIA
Brett Baty*,NYM
Nick Loftin,KCR
Ángel Martínez#,CLE
José Tena*,2TM
José Tena*,CLE
José Tena*,WSN
Nick Martini*,CIN
Evan Carter*,TEX
Gabriel Arias,CLE
Sam Hilliard*,COL
Jung Hoo Lee*,SFG
Reese McGuire*,BOS
Pavin Smith*,ARI
Matt Carpenter*,STL
Kyle McCann*,OAK
J.D. Davis,2TM
J.D. Davis,OAK
J.D. Davis,NYY
Austin Barnes,LAD
Kyle Manzardo*,CLE
Luis Matos,SFG
James Outman*,LAD
Tyler Wade*,SDP
Kris Bryant,COL
Alex Jackson,TBR
Victor Scott II*,STL
Luke Maile,CIN
Tommy Edman#,LAD
Martín Maldonado,CHW
Christian Bethancourt,2TM
Christian Bethancourt,MIA
Player,Team
Christian Bethancourt,CHC
Austin Hedges,CLE
Jonathan Aranda*,TBR
Andruw Monasterio,MIL
Danny Mendick,CHW
Tomás Nido,2TM
Tomás Nido,NYM
Tomás Nido,CHC
Darell Hernaiz,OAK
Dairon Blanco,KCR
Andrés Chaparro,WSN
Dylan Crews,WSN
Curtis Mead,TBR
Riley Adams,WSN
Grant McCray*,SFG
Luis Torrens,NYM
Mike Trout,LAA
Curt Casali,SFG
Michael Stefanic,LAA
Christian Encarnacion-Strand,CIN
Brett Harris,OAK
Henry Davis,PIT
Brooks Baldwin#,CHW
José Abreu,HOU
Kody Clemens*,PHI
Jerar Encarnación,SFG
Trey Sweeney*,DET
Garrett Cooper,2TM
Garrett Cooper,CHC
Garrett Cooper,BOS
Vaughn Grissom,BOS
José Herrera#,ARI
Heston Kjerstad*,BAL
Alex Call,WSN
Casey Schmitt,SFG
Player,Team
Estevan Florial*,CLE
Ryan Noda*,OAK
Luis Urías,SEA
Sean Bouchard,COL
Dane Myers,MIA
Bryan Ramos,CHW
Niko Kavadas*,LAA
Miles Mastrobuoni*,CHC
Trevor Story,BOS
Nick Allen,OAK
Oliver Dunn*,MIL
Alek Thomas*,ARI
Jacob Wilson,OAK
Ben Gamel*,2TM
Ben Gamel*,NYM
Ben Gamel*,HOU
Aaron Schunk,COL
Weston Wilson,PHI
Tucker Barnhart*,ARI
Yan Gomes,CHC
Ali Sánchez,MIA
Alika Williams,PIT
Miguel Sanó,LAA
Jace Jung*,DET
Nick Madrigal,CHC
Bobby Dalbec,BOS
Andrew Knizner,TEX
Trey Cabbage*,HOU
Nathan Lukes*,TOR
Griffin Conine*,MIA
Zack Short,3TM
Zack Short,2TM
Zack Short,NYM
Zack Short,BOS
Zack Short,ATL
Player,Team
Adrian Del Castillo*,ARI
Dillon Dingler,DET
Leo Rivas#,SEA
Nick Sogard#,BOS
Will Wagner*,TOR
Akil Baddoo*,DET
Ji Hwan Bae*,PIT
Marco Luciano,SFG
Brandon Crawford*,STL
José Azócar,SDP
José Fermín,STL
Daniel Vogelbach*,TOR
Nasim Nuñez#,WSN
Joshua Palacios*,PIT
Chuckie Robinson,CHW
Zach DeLoach*,CHW
Bligh Madris*,DET
Jon Berti,NYY
Eric Wagaman,LAA
Bryce Johnson#,SDP
Jacob Amaya,2TM
Jacob Amaya,HOU
Jacob Amaya,CHW
Ryan Bliss,SEA
Jack López,LAA
Brian Serven,TOR
Eric Haase,MIL
Omar Narváez*,NYM
Jacob Hurtubise*,CIN
Jasson Domínguez#,NYY
Braden Shewmake*,CHW
Alan Trejo,COL
Jonatan Clase#,2TM
Jonatan Clase#,SEA
Jonatan Clase#,TOR
Player,Team
Zach Dezenzo,HOU
Yuli Gurriel,KCR
Ryan Kreidler,DET
Esteury Ruiz,OAK
Pablo Reyes,2TM
Pablo Reyes,BOS
Pablo Reyes,NYM
Aaron Hicks#,LAA
David Dahl*,PHI
Mike Ford*,CIN
Drew Millas#,WSN
Jared Walsh*,TEX
Kyren Paris,LAA
David Hensley,MIA
Tyler Black*,MIL
Mason McCoy,SDP
Eguy Rosario,SDP
Cole Tucker#,LAA
Rafael Marchán#,PHI
Chadwick Tromp,ATL
Drew Romo#,COL
Thomas Saggese,STL
Luke Williams,ATL
Avisaíl García,MIA
Rece Hinds,CIN
Austin Shenton*,TBR
Luken Baker,STL
Billy Cook,PIT
Tyler Locklear,SEA
René Pinto,TBR
Ryan Vilade,DET
Davis Wendzel,TEX
David Bote,CHC
Gustavo Campero#,LAA
Jamie Westbrook,BOS
Player,Team
Jahmai Jones,NYY
Coby Mayo,BAL
Shay Whitcomb,HOU
Steward Berroa#,TOR
Yoán Moncada#,CHW
Justin Foscue,TEX
Seby Zavala,SEA
Eli White,ATL
Nick Yorke,PIT
Luisangel Acuña,NYM
Jonathan Ornelas,TEX
Jhonny Pereda,MIA
Johnathan Rodríguez,CLE
Armando Alvarez,OAK
Zach Remillard,CHW
Jordyn Adams,LAA
Oscar Colás*,CHW
Tom Murphy,SFG
Blake Sabol*,SFG
Logan Driscoll*,TBR
David Villar,SFG
Joey Wendle*,NYM
Adael Amador#,COL
Javier Sanoja,MIA
Forrest Wall*,2TM
Forrest Wall*,ATL
Forrest Wall*,MIA
Aledmys Díaz,2TM
Aledmys Díaz,OAK
Aledmys Díaz,HOU
Niko Goodrum#,2TM
Niko Goodrum#,TBR
Niko Goodrum#,LAA
Nacho Alvarez Jr.,ATL
Travis Blankenhorn*,WSN
Player,Team
Graham Pauley*,SDP
César Salazar*,HOU
Luis De Los Santos,TOR
Tristan Gray*,2TM
Tristan Gray*,MIA
Tristan Gray*,OAK
Jason Vosler*,SEA
Trenton Brooks*,SFG
Blake Dunn,CIN
Ehire Adrianza#,LAA
Alexander Canario,CHC
Charles Leblanc,LAA
Billy McKinney*,PIT
Matt Mervis*,CHC
Joey Wiemer,2TM
Joey Wiemer,MIL
Joey Wiemer,CIN
Keston Hiura,LAA
Owen Miller,MIL
Cal Stevenson*,PHI
Jace Peterson*,ARI
Buddy Kennedy,2TM
Buddy Kennedy,DET
Buddy Kennedy,PHI
Grae Kessinger,HOU
Donovan Walton*,SFG
Mickey Gasper#,BOS
Pedro León,HOU
Austin Wynns,CIN
Isaac Collins#,MIL
Jason Delay,PIT
Drew Waters#,KCR
Jorge Barrosa#,ARI
Bubba Thompson,CIN
Rafael Ortega*,CHW
Player,Team
Brett Sullivan*,SDP
Sam Haggerty#,SEA
Tyler Heineman#,2TM
Tyler Heineman#,BOS
Tyler Heineman#,TOR
Liván Soto*,2TM
Liván Soto*,CIN
Liván Soto*,BAL
Kameron Misner*,TBR
Carlos Narváez,NYY
Jakson Reetz,SFG
Ryan McKenna,2TM
Ryan McKenna,BAL
Ryan McKenna,SFG
Darren Baker*,WSN
Hunter Feduccia*,LAD
DaShawn Keirsey Jr.*,MIN
Luis Vázquez,CHC
Brandon Lockridge,SDP
Bryce Teodosio,LAA
Eddy Alvarez*,NYM
Levi Jordan,CIN
Oswald Peraza,NYY
Kevin Alcántara,CHC
Matt Duffy,TEX
Michael Helman,MIN
Tony Kemp*,BAL
J.P. Martínez*,ATL
Liover Peguero,PIT
Edwin Ríos*,CIN
Rob Brantly*,TBR
Vinny Capra,MIL
David Fletcher,ATL
Cade Marlowe*,SEA
CJ Alexander*,KCR
Player,Team
Conner Capel*,CIN
Diego Castillo,MIN
Cooper Hummel#,HOU
Grant Koch,PIT
Taylor Trammell*,2TM
Taylor Trammell*,LAD
Taylor Trammell*,NYY
Jair Camargo,MIN
Aramis Garcia,PHI
Dustin Harris*,TEX
Stone Garrett,WSN
Greg Jones#,COL
Andrew Knapp#,SFG
Brian Anderson,ATL
Sandro Fabian,TEX
Tyler Gentry,KCR
Brewer Hicklen,MIL
Nick Maton*,BAL
Samad Taylor,SEA
Duke Ellis*,2TM
Duke Ellis*,CHW
Duke Ellis*,NYY
José Devers*,MIA
Sam Huff,TEX
Myles Straw,CLE
Matthew Batten,SDP
Orelvis Martínez,TOR
David Bañuelos,BAL
Luis Castillo,SEA
Daniel Johnson*,BAL
Scott McGough,ARI
Chris Roller,MIL
Eric Yang,CIN
Chase Anderson,BOS
Pedro Avila,CLE
Player,Team
Mike Baumann,2TM
Mike Baumann,BAL
Mike Baumann,SEA
Jalen Beeks*,COL
Brennan Bernardino*,BOS
John Brebbia*,CHW
Jhony Brito,SDP
Kris Bubic*,KCR
Génesis Cabrera*,TOR
Isaiah Campbell,BOS
Danny Coulombe*,BAL
Jeff Criswell,COL
Fernando Cruz#,CIN
Alexis Díaz,CIN
Edwin Díaz,NYM
Jake Diekman,NYM
Seranthony Domínguez,BAL
Mason Englert#,DET
Buck Farmer*,CIN
Ryan Fernandez,STL
Kyle Finnegan,WSN
Jason Foley,DET
Kyle Freeland*,COL
Luis Frías,ARI
Hunter Gaddis,CLE
Kevin Ginkel*,ARI
Chad Green*,TOR
Josh Hader*,HOU
Seth Halvorsen,COL
Hunter Harvey,KCR
Jonathan Heasley,BAL
Ryan Helsley,STL
Kevin Herget*,MIL
Jonathan Hernández,TEX
Porter Hodge,CHC
Player,Team
Spencer Howard,CLE
Joe Hudson,NYM
Kenley Jansen#,BOS
Bryce Jarvis*,ARI
Craig Kimbrel,BAL
Bryan King,HOU
John King*,STL
Tyler Kinley,COL
Andrew Kittredge,STL
Matt Koch*,COL
Michael Kopech,CHW
Peter Lambert,COL
Jacob Latz,TEX
Derek Law,WSN
Justin Lawrence,COL
Kyle Leahy#,STL
José Leclerc,TEX
Jorge López,NYM
Joe Mantiply,ARI
Chris Martin,BOS
Justin Martínez,ARI
James McArthur,KCR
Nick Mears,COL
Trevor Megill*,MIL
Julian Merryweather,CHC
Hoby Milner*,MIL
Héctor Neris,CHC
Joel Payamps,MIL
Elvis Peguero,MIL
Zach Penrod*,BOS
Ryan Pressly,HOU
A.J. Puk*,ARI
José Quijada*,LAA
David Robertson,TEX
Yerry Rodríguez,TEX
Player,Team
JoJo Romero*,STL
Paul Sewald,ARI
Chase Shugart*,BOS
Lucas Sims,CIN
Kevin Smith,NYY
Ryne Stanek,SEA
Albert Suárez,BAL
Ryan Thompson,ARI
Trent Thornton,SEA
José Ureña,TEX
Victor Vodnik,COL
Austin Voth,SEA
Jacob Webb,BAL
Mitch White,MIL
Owen White,TEX
Justin Wilson*,CIN
Josh Winckowski,BOS
Kirby Yates*,TEX
Alex Young*,CIN
Guillo Zuñiga,LAA
